date,Confirmed_Cases,Probable_Cases,Total_Cases,7-day_Average_of_Confirmed_Cases,7-day_Average_of_Probable_Cases,7-day_Average of_Total_cases,status,ETLdate
10/01/2020 12:00:00 AM +0000,614,82,696,,,,Update,03/30/2021 03:23:10 PM +0000
10/10/2020 12:00:00 AM +0000,310,46,356,,,,Update,03/30/2021 03:23:18 PM +0000
10/11/2020 12:00:00 AM +0000,281,50,331,,,,Update,03/30/2021 03:23:17 PM +0000
10/12/2020 12:00:00 AM +0000,514,73,587,,,,Update,03/30/2021 03:23:18 PM +0000
10/13/2020 12:00:00 AM +0000,588,114,702,,,,Update,03/30/2021 03:23:19 PM +0000
10/14/2020 12:00:00 AM +0000,575,145,720,,,,Update,03/30/2021 03:23:20 PM +0000
10/15/2020 12:00:00 AM +0000,601,133,734,,,,Update,03/30/2021 03:23:21 PM +0000
10/16/2020 12:00:00 AM +0000,502,131,633,,,,Update,03/30/2021 03:25:47 PM +0000
10/17/2020 12:00:00 AM +0000,365,109,474,,,,Update,03/30/2021 03:25:48 PM +0000
10/18/2020 12:00:00 AM +0000,411,119,530,,,,Update,03/30/2021 03:25:47 PM +0000
10/19/2020 12:00:00 AM +0000,622,174,796,,,,Update,03/30/2021 03:25:47 PM +0000
10/02/2020 12:00:00 AM +0000,594,88,682,,,,Update,03/30/2021 03:23:11 PM +0000
10/20/2020 12:00:00 AM +0000,599,168,767,,,,Update,03/30/2021 03:29:05 PM +0000
10/21/2020 12:00:00 AM +0000,650,170,820,,,,Update,03/30/2021 03:29:05 PM +0000
10/22/2020 12:00:00 AM +0000,750,191,941,,,,Update,03/30/2021 03:30:05 PM +0000
10/23/2020 12:00:00 AM +0000,602,177,779,,,,Update,03/30/2021 03:30:05 PM +0000
10/24/2020 12:00:00 AM +0000,385,137,522,,,,Update,03/30/2021 03:31:09 PM +0000
10/25/2020 12:00:00 AM +0000,361,156,517,,,,Update,03/30/2021 03:31:09 PM +0000
10/26/2020 12:00:00 AM +0000,693,221,914,,,,Update,03/30/2021 03:31:09 PM +0000
10/27/2020 12:00:00 AM +0000,738,239,977,,,,Update,03/31/2021 01:55:04 PM +0000
10/28/2020 12:00:00 AM +0000,780,230,1010,,,,Update,03/31/2021 01:55:05 PM +0000
10/29/2020 12:00:00 AM +0000,617,232,849,,,,Update,03/31/2021 01:55:06 PM +0000
10/03/2020 12:00:00 AM +0000,276,46,322,,,,Update,03/30/2021 03:23:10 PM +0000
10/30/2020 12:00:00 AM +0000,651,228,879,,,,Update,03/31/2021 01:55:07 PM +0000
10/31/2020 12:00:00 AM +0000,404,144,548,,,,Update,03/31/2021 01:55:06 PM +0000
10/04/2020 12:00:00 AM +0000,337,69,406,,,,Update,03/30/2021 03:23:13 PM +0000
10/05/2020 12:00:00 AM +0000,816,122,938,,,,Update,03/30/2021 03:23:14 PM +0000
10/06/2020 12:00:00 AM +0000,566,75,641,,,,Update,03/30/2021 03:23:14 PM +0000
10/07/2020 12:00:00 AM +0000,541,88,629,,,,Update,03/30/2021 03:23:14 PM +0000
10/08/2020 12:00:00 AM +0000,524,79,603,,,,Update,03/30/2021 03:23:15 PM +0000
10/09/2020 12:00:00 AM +0000,522,95,617,,,,Update,03/30/2021 03:23:17 PM +0000
11/01/2020 12:00:00 AM +0000,496,240,736,,,,Update,03/31/2021 01:55:07 PM +0000
11/10/2020 12:00:00 AM +0000,1588,509,2097,,,,Update,04/01/2021 04:12:34 PM +0000
11/11/2020 12:00:00 AM +0000,1534,481,2015,,,,Update,04/01/2021 04:12:32 PM +0000
11/12/2020 12:00:00 AM +0000,1500,513,2013,,,,Update,04/01/2021 04:12:37 PM +0000
11/13/2020 12:00:00 AM +0000,1493,516,2009,,,,Update,04/01/2021 04:12:38 PM +0000
11/14/2020 12:00:00 AM +0000,1028,433,1461,,,,Update,04/01/2021 04:12:39 PM +0000
11/15/2020 12:00:00 AM +0000,896,428,1324,,,,Update,04/01/2021 04:12:41 PM +0000
11/16/2020 12:00:00 AM +0000,1827,534,2361,,,,Update,04/01/2021 04:12:42 PM +0000
11/17/2020 12:00:00 AM +0000,1725,556,2281,,,,Update,04/01/2021 04:12:44 PM +0000
11/18/2020 12:00:00 AM +0000,1746,541,2287,,,,Update,04/01/2021 04:12:42 PM +0000
11/19/2020 12:00:00 AM +0000,1857,532,2389,,,,Update,04/01/2021 04:12:46 PM +0000
11/02/2020 12:00:00 AM +0000,951,337,1288,663,236,898,Update,03/31/2021 01:55:05 PM +0000
11/20/2020 12:00:00 AM +0000,1770,508,2278,,,,Update,04/01/2021 04:12:47 PM +0000
11/21/2020 12:00:00 AM +0000,1288,357,1645,,,,Update,04/01/2021 04:12:48 PM +0000
11/22/2020 12:00:00 AM +0000,1146,415,1561,,,,Update,04/01/2021 04:12:47 PM +0000
11/23/2020 12:00:00 AM +0000,2309,588,2897,,,,Update,04/01/2021 04:12:50 PM +0000
11/24/2020 12:00:00 AM +0000,2070,612,2682,,,,Update,04/01/2021 04:12:49 PM +0000
11/25/2020 12:00:00 AM +0000,2361,645,3006,,,,Update,04/01/2021 04:12:52 PM +0000
11/26/2020 12:00:00 AM +0000,807,387,1194,,,,Update,04/01/2021 04:12:53 PM +0000
11/27/2020 12:00:00 AM +0000,2299,768,3067,,,,Update,04/01/2021 04:12:53 PM +0000
11/28/2020 12:00:00 AM +0000,1787,586,2373,,,,Update,04/01/2021 04:12:56 PM +0000
11/29/2020 12:00:00 AM +0000,1726,632,2358,,,,Update,04/01/2021 04:12:57 PM +0000
11/03/2020 12:00:00 AM +0000,900,305,1205,,,,Update,03/31/2021 02:09:52 PM +0000
11/30/2020 12:00:00 AM +0000,2794,796,3590,,,,Update,04/01/2021 04:12:56 PM +0000
11/04/2020 12:00:00 AM +0000,1109,380,1489,,,,Update,03/31/2021 02:09:52 PM +0000
11/05/2020 12:00:00 AM +0000,1136,407,1543,,,,Update,03/31/2021 02:09:52 PM +0000
11/06/2020 12:00:00 AM +0000,1035,426,1461,,,,Update,03/31/2021 02:09:52 PM +0000
11/07/2020 12:00:00 AM +0000,843,361,1204,,,,Update,04/01/2021 04:12:30 PM +0000
11/08/2020 12:00:00 AM +0000,788,375,1163,,,,Update,04/01/2021 04:12:33 PM +0000
11/09/2020 12:00:00 AM +0000,1544,549,2093,,,,Update,04/01/2021 04:12:34 PM +0000
12/01/2020 12:00:00 AM +0000,3139,992,4131,,,,Update,04/01/2021 04:12:59 PM +0000
12/02/2020 12:00:00 AM +0000,2997,830,3827,,,,Update,04/01/2021 04:12:57 PM +0000
12/03/2020 12:00:00 AM +0000,2879,905,3784,,,,Update,04/01/2021 04:13:01 PM +0000
12/04/2020 12:00:00 AM +0000,2807,763,3570,,,,Update,04/01/2021 04:13:02 PM +0000
12/05/2020 12:00:00 AM +0000,1881,657,2538,,,,Update,04/01/2021 04:13:03 PM +0000
12/06/2020 12:00:00 AM +0000,1752,663,2415,,,,Update,04/01/2021 04:13:03 PM +0000
12/07/2020 12:00:00 AM +0000,3306,1017,4323,,,,Update,04/01/2021 04:13:04 PM +0000
12/08/2020 12:00:00 AM +0000,3062,916,3978,,,,Update,04/01/2021 04:13:07 PM +0000
09/10/2020 12:00:00 AM +0000,323,30,,,,,Insert,03/30/2021 03:22:40 PM +0000
09/11/2020 12:00:00 AM +0000,316,30,,,,,Insert,03/30/2021 03:22:40 PM +0000
09/12/2020 12:00:00 AM +0000,202,28,,,,,Insert,03/30/2021 03:22:40 PM +0000
09/13/2020 12:00:00 AM +0000,259,27,,,,,Update,03/30/2021 03:22:41 PM +0000
09/14/2020 12:00:00 AM +0000,434,31,,,,,Insert,03/30/2021 03:22:40 PM +0000
09/15/2020 12:00:00 AM +0000,341,50,,,,,Update,03/30/2021 03:22:43 PM +0000
09/16/2020 12:00:00 AM +0000,369,38,,,,,Update,03/30/2021 03:22:44 PM +0000
09/17/2020 12:00:00 AM +0000,353,33,,,,,Update,03/30/2021 03:22:44 PM +0000
09/18/2020 12:00:00 AM +0000,288,34,,,,,Update,03/30/2021 03:22:45 PM +0000
09/19/2020 12:00:00 AM +0000,158,24,,,,,Update,03/30/2021 03:22:44 PM +0000
09/20/2020 12:00:00 AM +0000,157,26,183,,,,Update,03/30/2021 03:22:47 PM +0000
09/21/2020 12:00:00 AM +0000,514,56,570,,,,Update,03/30/2021 03:22:47 PM +0000
09/22/2020 12:00:00 AM +0000,408,54,462,,,,Update,03/30/2021 03:22:48 PM +0000
09/23/2020 12:00:00 AM +0000,532,61,593,,,,Update,03/30/2021 03:22:47 PM +0000
09/24/2020 12:00:00 AM +0000,471,76,547,,,,Update,03/30/2021 03:22:49 PM +0000
09/25/2020 12:00:00 AM +0000,457,59,516,,,,Update,03/30/2021 03:22:51 PM +0000
09/26/2020 12:00:00 AM +0000,278,34,312,,,,Update,03/30/2021 03:22:51 PM +0000
09/27/2020 12:00:00 AM +0000,381,49,430,,,,Update,03/30/2021 03:22:50 PM +0000
09/28/2020 12:00:00 AM +0000,436,40,476,,,,Update,03/30/2021 03:23:08 PM +0000
09/29/2020 12:00:00 AM +0000,687,73,760,,,,Update,03/30/2021 03:23:09 PM +0000
09/30/2020 12:00:00 AM +0000,583,86,669,,,,Update,03/30/2021 03:23:10 PM +0000
12/09/2020 12:00:00 AM +0000,3105,972,4077,,,,Update,04/01/2021 04:13:08 PM +0000
12/10/2020 12:00:00 AM +0000,3143,912,4055,,,,Update,04/01/2021 04:13:08 PM +0000
12/11/2020 12:00:00 AM +0000,2979,901,3880,,,,Update,04/01/2021 04:13:10 PM +0000
01/15/2021 12:00:00 AM +0000,4796,1101,5897,,,,Update,04/15/2021 03:24:58 PM +0000
01/16/2021 12:00:00 AM +0000,3479,927,4406,,,,Update,04/21/2021 02:55:38 PM +0000
01/23/2021 12:00:00 AM +0000,3277,1036,4313,4352,1217,5569,Update,04/21/2021 02:55:39 PM +0000
01/24/2021 12:00:00 AM +0000,2840,967,3807,,,,Update,04/23/2021 11:10:04 PM +0000
01/25/2021 12:00:00 AM +0000,5655,1428,7083,,,,Update,04/22/2021 11:10:05 PM +0000
01/26/2021 12:00:00 AM +0000,4700,1249,5949,,,,Update,04/22/2021 11:10:05 PM +0000
01/27/2021 12:00:00 AM +0000,4783,1225,6008,,,,Update,04/27/2021 11:10:03 PM +0000
01/28/2021 12:00:00 AM +0000,4669,1177,5846,,,,Update,04/27/2021 11:10:03 PM +0000
01/29/2021 12:00:00 AM +0000,3677,1019,4696,,,,Update,04/26/2021 11:10:04 PM +0000
01/31/2021 12:00:00 AM +0000,2888,956,3844,,,,Update,05/01/2021 11:10:04 PM +0000
02/09/2021 12:00:00 AM +0000,3728,1034,4762,,,,Update,05/10/2021 11:10:05 PM +0000
