date,total_test,positive_test,percent_positive,percent_positive_7days_agg,UptDate
05/22/2021 12:00:00 AM,20079,355,0.0177,0.0112,06/12/2021 11:30:11 PM
09/28/2020 12:00:00 AM,44355,543,0.0122,0.0151,03/17/2021 02:17:47 PM
03/05/2020 12:00:00 AM,65,4,0.0615,,03/17/2021 02:14:54 PM
09/23/2020 12:00:00 AM,46178,650,0.0141,0.0133,03/17/2021 02:17:46 PM
05/26/2020 12:00:00 AM,35719,1768,0.0495,0.0616,03/17/2021 02:17:35 PM
07/15/2020 12:00:00 AM,37936,564,0.0149,,03/17/2021 02:17:34 PM
08/15/2020 12:00:00 AM,15114,196,0.013,0.0122,03/17/2021 02:17:35 PM
06/08/2021 12:00:00 AM,44124,249,0.0056,0.007,06/14/2021 11:30:10 PM
05/08/2021 12:00:00 AM,22068,615,0.0279,0.0206,06/10/2021 11:30:10 PM
03/07/2021 12:00:00 AM,28069,2663,0.0949,0.066,05/31/2021 11:30:17 PM
08/27/2020 12:00:00 AM,34251,352,0.0103,0.0106,03/17/2021 02:17:38 PM
04/02/2020 12:00:00 AM,10216,6111,0.5982,,03/17/2021 02:17:29 PM
06/28/2020 12:00:00 AM,14363,273,0.019,,03/17/2021 02:17:33 PM
03/16/2021 12:00:00 AM,78531,4162,0.053,0.0643,06/12/2021 11:30:11 PM
12/23/2020 12:00:00 AM,73619,5152,0.07,0.0713,03/24/2021 02:25:35 PM
11/25/2020 12:00:00 AM,68699,2915,0.0424,0.0384,03/17/2021 02:18:05 PM
05/04/2021 12:00:00 AM,70397,1289,0.0183,0.0246,06/12/2021 11:30:11 PM
07/20/2020 12:00:00 AM,34786,535,0.0154,,03/17/2021 02:17:33 PM
06/10/2021 12:00:00 AM,49726,219,0.0044,0.0064,06/14/2021 11:30:10 PM
06/10/2020 12:00:00 AM,26046,571,0.0219,0.0272,03/17/2021 02:17:35 PM
04/29/2020 12:00:00 AM,15098,3086,0.2044,,03/17/2021 02:15:09 PM
02/14/2021 12:00:00 AM,25417,2738,0.1077,0.0748,05/13/2021 11:30:11 PM
04/30/2020 12:00:00 AM,13873,2674,0.1927,,03/17/2021 02:14:56 PM
11/28/2020 12:00:00 AM,31566,2182,0.0691,0.0462,03/17/2021 04:44:53 PM
04/04/2020 12:00:00 AM,6902,4086,0.592,,03/17/2021 02:15:05 PM
08/13/2020 12:00:00 AM,31056,353,0.0114,,03/17/2021 02:17:34 PM
01/24/2021 12:00:00 AM,32580,4082,0.1253,0.0922,04/22/2021 11:30:19 PM
11/12/2020 12:00:00 AM,64011,1698,0.0265,0.0316,03/17/2021 02:17:59 PM
08/10/2020 12:00:00 AM,37580,425,0.0113,,03/17/2021 02:17:32 PM
04/20/2021 12:00:00 AM,72489,2389,0.033,0.0449,06/12/2021 11:30:11 PM
03/28/2021 12:00:00 AM,25996,2360,0.0908,0.0645,06/11/2021 11:30:11 PM
02/20/2021 12:00:00 AM,36040,3645,0.1011,0.076,05/21/2021 11:30:14 PM
03/12/2021 12:00:00 AM,75375,4405,0.0584,0.0645,06/10/2021 11:30:10 PM
11/17/2020 12:00:00 AM,70393,2071,0.0294,0.0328,03/17/2021 02:18:04 PM
05/20/2021 12:00:00 AM,64929,595,0.0092,0.0119,06/13/2021 11:30:10 PM
